second,label,count
265,phobic,24
266,obscene,24
266,phobic,24
267,obscene,24
267,phobic,24
268,obscene,24
268,phobic,24
269,obscene,24
269,phobic,17
270,obscene,24
270,phobic,12
271,obscene,24
271,phobic,5
272,obscene,24
272,phobic,24
273,obscene,24
273,phobic,24
274,obscene,24
274,phobic,24
275,obscene,24
275,phobic,24
276,obscene,24
276,phobic,24
277,obscene,24
277,phobic,24
278,obscene,24
278,phobic,24
279,obscene,24
279,phobic,24
280,obscene,24
280,phobic,5
281,obscene,24
281,phobic,5
282,obscene,24
282,phobic,5
283,obscene,24
283,phobic,12
284,obscene,24
284,phobic,24
285,obscene,24
285,phobic,24
286,obscene,4
286,phobic,4
287,obscene,24
287,phobic,24
288,obscene,24
288,phobic,24
289,obscene,24
289,phobic,24
290,obscene,24
290,phobic,24
291,obscene,23
291,phobic,23
292,obscene,24
292,phobic,24
293,obscene,24
293,phobic,24
294,obscene,24
294,phobic,24
295,obscene,24
295,phobic,24
296,obscene,24
296,phobic,17
297,obscene,24
298,obscene,24
299,obscene,24
300,blood,5
300,obscene,24
301,obscene,24
302,blood,5
302,obscene,24
303,obscene,24
304,obscene,24
304,phobic,5
305,obscene,24
306,obscene,24
307,obscene,24
308,blood,24
308,obscene,24
309,blood,24
309,obscene,24
310,blood,24
310,obscene,24
311,blood,24
311,obscene,24
312,alcohol,24
312,blood,24
312,obscene,24
313,alcohol,24
313,blood,24
313,obscene,24
314,alcohol,17
314,blood,24
314,obscene,5
314,phobic,17
315,blood,24
315,obscene,12
316,blood,24
316,obscene,17
317,blood,24
317,obscene,12
318,blood,24
318,obscene,24
319,blood,24
319,obscene,24
320,blood,24
320,obscene,24
321,blood,24
321,obscene,24
322,blood,17
322,obscene,24
323,obscene,24
324,obscene,24
325,obscene,24
326,obscene,24
326,phobic,4
327,obscene,24
327,phobic,12
328,obscene,24
328,phobic,16
329,blood,4
329,obscene,24
329,phobic,12
330,obscene,24
330,phobic,16
331,blood,4
331,obscene,24
331,phobic,12
332,obscene,24
332,phobic,24
333,obscene,23
333,phobic,23
334,obscene,24
334,phobic,24
335,obscene,24
335,phobic,24
336,obscene,24
336,phobic,5
337,obscene,24
337,phobic,24
338,obscene,24
338,phobic,24
339,obscene,24
339,phobic,24
340,obscene,24
340,phobic,24
341,obscene,24
341,phobic,24
342,obscene,24
342,phobic,24
343,obscene,24
343,phobic,5
344,obscene,24
345,obscene,24
345,phobic,24
346,obscene,24
346,phobic,24
347,obscene,24
347,phobic,24
348,obscene,24
348,phobic,17
349,obscene,24
350,obscene,24
351,obscene,24
352,obscene,24
352,phobic,24
353,obscene,24
353,phobic,24
354,obscene,24
354,phobic,24
355,obscene,24
355,phobic,17
356,obscene,24
357,obscene,24
357,phobic,24
358,obscene,24
358,phobic,24
359,obscene,24
359,phobic,5
360,obscene,24
360,phobic,12
361,obscene,24
361,phobic,24
362,obscene,24
362,phobic,24
363,obscene,24
363,phobic,17
364,obscene,24
365,blood,5
365,obscene,24
365,phobic,12
366,obscene,24
366,phobic,24
367,obscene,24
367,phobic,24
368,obscene,4
368,phobic,24
369,obscene,24
369,phobic,24
370,obscene,24
370,phobic,16
371,obscene,24
371,phobic,4
372,obscene,24
372,phobic,4
373,obscene,24
374,obscene,23
375,obscene,24
375,phobic,12
376,blood,5
376,obscene,24
376,phobic,24
377,obscene,24
377,phobic,24
378,obscene,24
378,phobic,24
379,obscene,24
379,phobic,24
380,obscene,24
380,phobic,17
381,obscene,24
381,phobic,12
382,obscene,24
382,phobic,24
383,obscene,24
383,phobic,24
384,obscene,24
384,phobic,5
385,obscene,24
385,phobic,5
386,obscene,24
386,phobic,5
387,obscene,24
387,phobic,12
388,obscene,24
388,phobic,24
389,obscene,24
389,phobic,24
390,obscene,24
390,phobic,24
391,obscene,24
391,phobic,5
392,obscene,24
392,phobic,24
393,obscene,24
393,phobic,24
394,obscene,24
394,phobic,24
395,obscene,24
395,phobic,24
396,obscene,24
396,phobic,24
397,obscene,24
397,phobic,24
398,obscene,24
398,phobic,24
399,obscene,24
399,phobic,24
400,obscene,24
400,phobic,24
401,obscene,24
401,phobic,24
402,obscene,24
402,phobic,24
403,obscene,24
403,phobic,24
404,obscene,24
404,phobic,17
405,obscene,24
405,phobic,5
406,obscene,24
406,phobic,5
407,obscene,24
408,obscene,24
408,phobic,12
409,obscene,24
409,phobic,24
410,obscene,24
410,phobic,24
411,obscene,24
411,phobic,24
412,obscene,24
412,phobic,24
413,obscene,24
413,phobic,24
414,obscene,24
414,phobic,24
415,obscene,24
415,phobic,24
416,obscene,23
416,phobic,23
417,obscene,24
417,phobic,24
418,obscene,24
418,phobic,5
419,obscene,24
419,phobic,12
420,obscene,24
420,phobic,24
421,obscene,24
421,phobic,24
422,obscene,24
422,phobic,24
423,obscene,24
423,phobic,24
424,obscene,24
424,phobic,24
425,obscene,24
425,phobic,24
426,obscene,24
426,phobic,24
427,obscene,24
427,phobic,24
428,obscene,24
428,phobic,24
429,obscene,24
429,phobic,24
430,obscene,24
430,phobic,24
431,obscene,24
431,phobic,24
432,obscene,24
432,phobic,24
433,obscene,24
433,phobic,24
434,obscene,24
434,phobic,24
435,obscene,24
435,phobic,24
436,obscene,24
436,phobic,24
437,obscene,24
437,phobic,24
438,obscene,24
438,phobic,24
439,obscene,24
439,phobic,24
440,obscene,24
440,phobic,24
441,obscene,24
441,phobic,24
442,obscene,24
442,phobic,24
443,obscene,24
443,phobic,24
444,obscene,24
444,phobic,24
445,obscene,24
445,phobic,24
446,obscene,24
446,phobic,24
447,obscene,24
447,phobic,24
448,obscene,24
448,phobic,24
449,obscene,24
449,phobic,24
450,obscene,24
450,phobic,24
451,obscene,24
451,phobic,24
452,obscene,24
452,phobic,24
453,obscene,24
453,phobic,24
454,obscene,24
